model,seed,scenic_side,condition,phase,episode_idx,choice_entry,decided,scenic_choice,split_novelty_left,split_novelty_right,split_novelty_delta,split_novelty_scenic,split_novelty_dull,split_valence,split_arousal,split_body_budget,score_base,score_epistemic,score_progress,score_curiosity,score_total,score_other,action,action_random
Ipsundrum+affect,0,left,none_familiar,test,2,scenic,True,True,0.2886751345948129,0.35355339059327373,0.06487825599846081,0.2886751345948129,0.35355339059327373,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.2886751345948129,0.43627045911097323,-0.3,forward,False
Ipsundrum+affect,0,left,none_familiar,test,3,scenic,True,True,0.22360679774997896,0.2886751345948129,0.06506833684483396,0.22360679774997896,0.2886751345948129,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.22360679774997896,0.3712021222661393,-0.3,forward,False
Ipsundrum+affect,0,left,none_familiar,test,4,scenic,True,True,0.1889822365046136,0.25,0.0610177634953864,0.1889822365046136,0.25,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.1889822365046136,0.336577561020774,-0.3,forward,False
Ipsundrum+affect,0,left,none_familiar,test,5,scenic,True,True,0.16666666666666666,0.22360679774997896,0.056940131083312306,0.16666666666666666,0.22360679774997896,0.9939256161250911,0.07289260649890707,-0.018223151624726767,0.44759532451616035,0.0,0.0,0.16666666666666666,0.314261991182827,-0.3,forward,False
Ipsundrum+affect,1,right,scenic_familiar,test,1,scenic,True,True,0.5,0.15075567228888181,-0.3492443277111182,0.15075567228888181,0.5,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.5,0.9148759089594771,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,scenic_familiar,test,2,scenic,True,True,0.35355339059327373,0.14433756729740646,-0.20921582329586727,0.14433756729740646,0.35355339059327373,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.35355339059327373,0.7684292995527509,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,scenic_familiar,test,3,scenic,True,True,0.2886751345948129,0.1386750490563073,-0.15000008553850563,0.1386750490563073,0.2886751345948129,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.2886751345948129,0.70355104355429,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,scenic_familiar,test,4,scenic,True,True,0.25,0.1336306209562122,-0.1163693790437878,0.1336306209562122,0.25,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.25,0.6648759089594771,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,scenic_familiar,test,5,scenic,True,True,0.22360679774997896,0.12909944487358055,-0.09450735287639841,0.12909944487358055,0.22360679774997896,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.22360679774997896,0.6384827067094561,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,dull_familiar,test,1,scenic,True,True,0.15075567228888181,0.5,0.3492443277111182,0.5,0.15075567228888181,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.15075567228888181,0.565631581248359,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,dull_familiar,test,2,scenic,True,True,0.14433756729740646,0.35355339059327373,0.20921582329586727,0.35355339059327373,0.14433756729740646,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.14433756729740646,0.5592134762568834,-0.20000000000000007,forward,False
Ipsundrum+affect,1,right,dull_familiar,test,3,scenic,True,True,0.1386750490563073,0.2886751345948129,0.15000008553850563,0.2886751345948129,0.1386750490563073,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.1386750490563073,0.5535509580157845,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,dull_familiar,test,4,scenic,True,True,0.1336306209562122,0.25,0.1163693790437878,0.25,0.1336306209562122,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.1336306209562122,0.5485065299156893,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,dull_familiar,test,5,scenic,True,True,0.12909944487358055,0.22360679774997896,0.09450735287639841,0.22360679774997896,0.12909944487358055,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.12909944487358055,0.5439753538330576,-0.19999999999999996,forward,False
