task,model,horizon,mean_hazards,mean_time,success_rate,mean_min_dist,mean_final_dist,mean_forward,mean_unique,mean_Ns,mean_alpha,mean_valence,mean_arousal,n
gridworld,Ipsundrum+affect,10,0.25,5.45,1.0,0.0,0.16180339887498948,0.4044,0.10880000000000001,0.26385747819095484,0.8313793872890269,0.9631331528814071,0.04298298613633754,20
gridworld,Ipsundrum+affect,11,0.25,5.35,1.0,0.0,0.1,0.4082,0.1082,0.2651268216714169,0.832040117738962,0.9615599692814962,0.04327644624258696,20
gridworld,Ipsundrum+affect,12,0.2,5.35,1.0,0.0,0.0,0.3816,0.1002,0.2641331003682409,0.8295204305689137,0.9694191865377265,0.038493168623502674,20
gridworld,Ipsundrum+affect,13,0.2,5.35,1.0,0.0,0.05,0.3532,0.1016,0.2639313124600541,0.8284903925094621,0.9711228317259266,0.03748039809482058,20
gridworld,Ipsundrum+affect,14,0.25,5.65,1.0,0.0,0.0,0.34140000000000004,0.0986,0.2673308403017031,0.8267503269852007,0.9690603697857869,0.037698424364729546,20
gridworld,Ipsundrum+affect,15,0.45,5.65,1.0,0.0,0.05,0.3312,0.0992,0.2712798772703741,0.8259943346988624,0.9677078056656999,0.0387845646879289,20
gridworld,Ipsundrum+affect,16,0.3,5.65,1.0,0.0,0.15,0.3306,0.0988,0.2731834697428443,0.8247459239394541,0.9688221637137764,0.037689304281972306,20
gridworld,Ipsundrum+affect,17,0.3,5.65,1.0,0.0,0.15,0.3268,0.096,0.27311096362536513,0.8247504310548631,0.9689697293660121,0.03777716641322752,20
gridworld,Ipsundrum+affect,18,0.2,6.15,1.0,0.0,0.15,0.323,0.0918,0.274559418857659,0.822901225948056,0.9699170010116445,0.036157858609040305,20
gridworld,Ipsundrum+affect,19,0.15,6.15,1.0,0.0,0.0,0.3342,0.0932,0.2744186623058704,0.8234168909703653,0.9693814863370054,0.036073083976786435,20
gridworld,Ipsundrum+affect,20,0.25,6.15,1.0,0.0,0.1,0.31179999999999997,0.0884,0.27620067739343207,0.8231801416174965,0.9678639392226623,0.036714673408543105,20
